genome.genome_id	genome.biosample_accession	genome.geographic_location	genome.isolation_country	genome.collection_date	genome.collection_year
1773.10569	SAMN09566482	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10593	SAMN09566447	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10598	SAMN09566440	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10644	SAMN09566618	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10683	SAMN09566636	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10694	SAMN09566622	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10745	SAMN09566541	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10776	SAMN09566509	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10787	SAMN09566713	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10788	SAMN09566715	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10808	SAMN09566652	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10835	SAMN09566688	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10836	SAMN09566691	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1795	SAMEA1707196	Russia	Russia	2009	2009
1773.2135	SAMEA1019118	United Kingdom: Midlands	United Kingdom	2006	2006
1773.10610	SAMN09566497	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10654	SAMN09566591	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10692	SAMN09566625	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10801	SAMN09566673	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10846	SAMN09566674	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10605	SAMN09566431	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10823	SAMN09566707	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.838	SAMN03813789	USA: New Jersey	United States	1998	1998
1773.2148	SAMEA1019143	United Kingdom: Midlands	United Kingdom	2006	2006
1773.2154	SAMEA1019155	United Kingdom: Midlands	United Kingdom	2003	2003
1773.2268	SAMEA961624	United Kingdom: Midlands	United Kingdom	2006	2006
1773.10661	SAMN09566568	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10674	SAMN09566535	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10685	SAMN09566633	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10690	SAMN09566628	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10829	SAMN09566702	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10533	SAMN09566420	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2011	SAMEA1018889	United Kingdom: Midlands	United Kingdom	2008	2008
1773.10815	SAMN09566721	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.7518	SAMEA2682893	Peru	Peru	2010	2010
1773.843	SAMN03813790	USA: New Jersey	United States	1999	1999
1773.879	SAMEA968152	Estonia	Estonia	2005-04	2005
1773.10565	SAMN09566489	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2273	SAMEA961629	United Kingdom: Midlands	United Kingdom	2006	2006
1773.10589	SAMN09566452	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1152	SAMEA961590	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2294	SAMEA961653	United Kingdom: Midlands	United Kingdom	2004	2004
1773.2007	SAMEA1018881	United Kingdom: Midlands	United Kingdom	2005	2005
1773.10534	SAMN09566423	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.867	SAMEA968112	Netherlands: Amsterdam	Netherlands	2006-01	2006
1773.608	SAMEA787716	Uganda: Kampala	Uganda	2004-07-01	2004
1773.251	SAMN02943515	China	China		
1773.10602	SAMN09566433	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10684	SAMN09566635	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10620	SAMN09566470	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2377	SAMN04159245	Malaysia	Malaysia		
1773.9538	SAMN08687167	Lebanon	Lebanon	2017	2017
1773.2239	SAMEA961586	United Kingdom: Midlands	United Kingdom	2001	2001
1773.785	SAMEA968077	Netherlands: Amsterdam	Netherlands	1997-12	1997
1773.708	SAMN03793151	Thailand: Bangkok	Thailand	25-Aug-2000	2000
1773.10580	SAMN09566465	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10783	SAMN09566730	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2345	SAMN03813780	USA: New York City	United States	1998	1998
1773.565	SAMEA3246143	Ethiopia	Ethiopia		
1773.2136	SAMEA1019119	United Kingdom: Midlands	United Kingdom	2008	2008
1773.811	SAMEA968098	Netherlands: Amsterdam	Netherlands	2002-12	2002
1773.824	SAMEA968131	Netherlands: Amsterdam	Netherlands	2004-04	2004
1773.623	SAMEA787714	Uganda: Kampala	Uganda	2005-08-01	2005
1773.5941	SAMN04634165	Mozambique	Mozambique	6/20/14	2014
1773.2010	SAMEA1018885	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2237	SAMEA961584	United Kingdom: Midlands	United Kingdom	2007	2007
1773.10637	SAMN09566644	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10851	SAMN09566668	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2082	SAMEA1019012	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2274	SAMEA961630	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2356	SAMEA787748	Uganda: Kampala	Uganda	2003-10-01	2003
1773.10834	SAMN09566692	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.579	SAMEA787717	Uganda: Kampala	Uganda	2004-08-01	2004
1773.2244	SAMEA961592	United Kingdom: Midlands	United Kingdom	2003	2003
1773.10624	SAMN09566463	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10687	SAMN09566631	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1171	SAMEA787728	Uganda: Kampala	Uganda	2006-01-01	2006
1773.7505	SAMEA2682889	Peru	Peru	2009	2009
1773.1148	SAMEA1019300	United Kingdom: Midlands	United Kingdom	2008	2008
1773.1160	SAMEA961642	United Kingdom: Midlands	United Kingdom	2007	2007
1773.1227	SAMEA1015987	Russia	Russia	2008	2008
1773.1477	SAMEA1403723	Russia	Russia	2009	2009
1773.1811	SAMEA1707226	Russia	Russia	2009	2009
1773.1838	SAMEA1707287	Russia	Russia	2008	2008
1773.2126	SAMEA1019097	United Kingdom: Midlands	United Kingdom	2007	2007
1773.10665	SAMN09566557	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10703	SAMN09566605	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10767	SAMN09566524	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.7098	SAMEA2682726	Peru	Peru	2008	2008
1773.1986	SAMEA1018843	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2130	SAMEA1019102	United Kingdom: Midlands	United Kingdom	2009	2009
1773.2188	SAMEA1019245	United Kingdom: Midlands	United Kingdom	2011	2011
1773.10535	SAMN09566419	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10596	SAMN09566444	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10655	SAMN09566589	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10657	SAMN09566569	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10726	SAMN09566573	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10822	SAMN09566708	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10839	SAMN09566685	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1164	SAMEA787703	Uganda: Kampala	Uganda	2005-02-01	2005
1773.1988	SAMEA1018845	United Kingdom: Midlands	United Kingdom	2006	2006
1773.2016	SAMEA1018897	United Kingdom: Midlands	United Kingdom	2005	2005
1773.2031	SAMEA1018921	United Kingdom: Midlands	United Kingdom	2000	2000
1773.2091	SAMEA1019028	United Kingdom: Midlands	United Kingdom	1999	1999
1773.2163	SAMEA1019181	United Kingdom: Midlands	United Kingdom	2006	2006
1773.2287	SAMEA961646	United Kingdom: Midlands	United Kingdom	2007	2007
1773.9545	SAMN08684024	Lebanon	Lebanon	2017	2017
1773.10531	SAMN09566425	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10561	SAMN09566498	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10653	SAMN09566592	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10713	SAMN09566587	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10741	SAMN09566547	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10766	SAMN09566530	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10819	SAMN09566709	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10830	SAMN09566700	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2332	SAMN03813793	USA: New York City	United States	2002	2002
1773.1116	SAMEA1018857	United Kingdom: Midlands	United Kingdom	2008	2008
1773.1858	SAMEA1707327	Russia	Russia	2010	2010
1773.2012	SAMEA1018890	United Kingdom: Midlands	United Kingdom	2006	2006
1773.2102	SAMEA1019050	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2134	SAMEA1019113	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2206	SAMEA1019286	United Kingdom: Midlands	United Kingdom	2010	2010
1773.10769	SAMN09566516	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10825	SAMN09566706	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.629	SAMEA787754	Uganda: Kampala	Uganda	2004-12-01	2004
1773.7091	SAMEA2682797	Peru	Peru	2009	2009
1773.2049	SAMEA1018957	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2084	SAMEA1019014	United Kingdom: Midlands	United Kingdom	2004	2004
1773.2221	SAMEA1019318	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2299	SAMEA961659	United Kingdom: Midlands	United Kingdom	2008	2008
1773.801	SAMEA1706659	Netherlands: Amsterdam	Netherlands	1994-05	1994
1773.10625	SAMN09566456	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10701	SAMN09566609	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10791	SAMN09566705	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2327	SAMN03813791	USA: New York City	United States	2004	2004
1773.2329	SAMN03813776	USA: New York City	United States	2000	2000
1773.1149	SAMEA1019302	United Kingdom: Midlands	United Kingdom	2003	2003
1773.2106	SAMEA1019055	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2153	SAMEA1019154	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2200	SAMEA1019270	United Kingdom: Midlands	United Kingdom	2010	2010
1773.2232	SAMEA961578	United Kingdom: Midlands	United Kingdom	2005	2005
1773.758	SAMEA968192	Netherlands	Netherlands	1993-11	1993
1773.765	SAMEA1706680	Netherlands: Amsterdam	Netherlands	2001-05	2001
1773.771	SAMEA968082	Netherlands: Amsterdam	Netherlands	1999-07	1999
1773.10574	SAMN09566476	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10771	SAMN09566517	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2137	SAMEA1019120	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2243	SAMEA961591	United Kingdom: Midlands	United Kingdom	2004	2004
1773.2254	SAMEA961606	United Kingdom: Midlands	United Kingdom	2004	2004
1773.10828	SAMN09566697	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.706	SAMN03793146	Thailand: Bangkok	Thailand	01-Apr-2003	2003
1773.8167	SAMEA2683000	Peru	Peru	2011	2011
1773.2331	SAMN03813792	USA: New York City	United States	2001	2001
1773.2201	SAMEA1019271	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2314	SAMEA961674	United Kingdom: Midlands	United Kingdom	2008	2008
1773.721	SAMEA968189	Netherlands: Amsterdam	Netherlands	1999-02	1999
1773.733	SAMEA968208	Netherlands: Amsterdam	Netherlands	1998-03	1998
1773.790	SAMEA1706682	Netherlands: Amsterdam	Netherlands	1995-07	1995
1773.2229	SAMEA961572	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2246	SAMEA961594	United Kingdom: Midlands	United Kingdom	2003	2003
1773.744	SAMEA1706689	Netherlands: Amsterdam	Netherlands	1995-06	1995
1773.2025	SAMEA1018908	United Kingdom: Midlands	United Kingdom	2007	2007
1773.1177	SAMEA787752	Uganda: Kampala	Uganda	2005-03-01	2005
1773.795	SAMEA968191	Netherlands: Amsterdam	Netherlands	2002-08	2002
1773.1199	SAMEA3354378				
1773.782	SAMEA1706654	Netherlands	Netherlands	1997-08	1997
1773.7253	SAMEA2683049	Peru	Peru	2011	2011
1773.9546	SAMN08684023	Lebanon	Lebanon	2017	2017
1773.2228	SAMEA961571	United Kingdom: Midlands	United Kingdom	2007	2007
1773.6498	SAMN05916385	Peru: Lima	Peru	2012-01-01	2012
1773.6651	SAMN05916303	Peru: Lima	Peru	2012-01-01	2012
1773.6154	SAMN05918590	Peru: Lima	Peru	2012-01-01	2012
1773.10520	SAMN08437144	Colombia: Medellin	Colombia	2006	2006
1773.6909	SAMN06010342	Peru: Lima	Peru	2012-01-01	2012
1773.10614	SAMN09566492	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10712	SAMN09566588	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10749	SAMN09566529	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1045	SAMEA1707120	Russia	Russia	2008	2008
1773.571	SAMN03840761	Thailand	Thailand	May-2010	2010
1773.9501	SAMN08199302	Guatemala	Guatemala	2011	2011
1773.9507	SAMN08199347	Guatemala	Guatemala	2011	2011
1773.9509	SAMN08199268	Guatemala	Guatemala	2010	2010
1773.9510	SAMN08199265	Guatemala	Guatemala	2011	2011
1773.9511	SAMN08199267	Guatemala	Guatemala	2011	2011
1773.9514	SAMN08199348	Guatemala	Guatemala	2010	2010
1773.6748	SAMN06141171	Denmark:Aarhus	Denmark	06-Feb-1998	1998
1773.6568	SAMN05916460	Peru: Lima	Peru	2012-01-01	2012
1773.6075	SAMN05918918	Peru: Lima	Peru	2012-01-01	2012
1773.6251	SAMN05919664	Peru: Lima	Peru	2012-01-01	2012
1773.9508	SAMN08199271	Guatemala	Guatemala	2010	2010
1773.8160	SAMN05721799				
1773.6120	SAMN05915250	Peru: Lima	Peru	2012-01-01	2012
1773.6461	SAMN05918751	Peru: Lima	Peru	2012-01-01	2012
1773.9613	SAMN09477757	Myanmar: Yangon	Myanmar	08-Mar-2017	2017
1773.593	SAMEA1523387	South Africa: Brits	South Africa	2008/2014	
1773.7069	SAMEA2682672	Peru	Peru	2008	2008
1773.1600	SAMEA1403897	Russia	Russia	2008	2008
1773.1820	SAMEA1707250	Russia	Russia	2010	2010
1773.1839	SAMEA1707288	Russia	Russia	2010	2010
1773.6527	SAMN05916393	Peru: Lima	Peru	2012-01-01	2012
1773.6556	SAMN05916446	Peru: Lima	Peru	2012-01-01	2012
1773.6351	SAMN05918714	Peru: Lima	Peru	2012-01-01	2012
1773.6333	SAMN05918718	Peru: Lima	Peru	2012-01-01	2012
1773.6066	SAMN05918927	Peru: Lima	Peru	2012-01-01	2012
1773.6719	SAMN05918529	Peru: Lima	Peru	2012-01-01	2012
1773.6148	SAMN05918603	Peru: Lima	Peru	2012-01-01	2012
1773.10519	SAMN08436884	Colombia: Medellin	Colombia	2007	2007
1773.842	SAMN03813785	USA: New York City	United States	1999	1999
1773.8215	SAMN05833362	Colombia: Buenaventura	Colombia	2007	2007
1773.1967	SAMEA1707544	Russia	Russia	2010	2010
1773.2236	SAMEA961583	United Kingdom: Midlands	United Kingdom	2007	2007
1773.6165	SAMN05918580	Peru: Lima	Peru	2012-01-01	2012
1773.9518	SAMN08386658	Colombia	Colombia	1998	1998
1773.10513	SAMN08432974	Colombia: Medellin	Colombia	2005	2005
1773.10521	SAMN08437162	Colombia: Medellin	Colombia	2006	2006
1773.206	SAMN02688394	Taiwan: Kaohsiung	Taiwan	2007	2007
1773.8154	SAMN05721797				
1773.661	SAMEA1523362	South Africa: Durban	South Africa	2008/2014	
1773.1906	SAMEA1707415	Russia	Russia	2010	2010
1773.868	SAMEA968115	Netherlands	Netherlands	1997-06	1997
1773.6672	SAMN05916325	Peru: Lima	Peru	2012-01-01	2012
1773.9611	SAMN06292067	Hong Kong	China	2008	2008
1773.10512	SAMN08432968	Colombia: Medellin	Colombia	2005	2005
1773.10744	SAMN09566540	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10747	SAMN09566531	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2429	SAMN04910091				
1773.2343	SAMN03813803	USA: New York City	United States	2002	2002
1773.685	SAMEA1523356	South Africa: Durban	South Africa	2008/2014	
1773.1525	SAMEA1403793	Russia	Russia	2009	2009
1773.1528	SAMEA1403799	Russia	Russia	2009	2009
1773.1638	SAMEA1403943	Russia	Russia	2008	2008
1773.1987	SAMEA1018844	United Kingdom: Midlands	United Kingdom	2007	2007
1773.2022	SAMEA1018906	United Kingdom: Midlands	United Kingdom	2008	2008
1773.2088	SAMEA1019022	United Kingdom: Midlands	United Kingdom	2007	2007
1773.949	SAMEA1403587	Russia	Russia	2009	2009
1773.10666	SAMN09566555	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10737	SAMN09566554	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10757	SAMN09566510	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.7532	SAMEA2683025	Peru	Peru	2011	2011
1773.7204	SAMEA2682731	Peru	Peru	2009	2009
1773.7314	SAMEA2683027	Peru	Peru	2006	2006
1773.8171	SAMEA2682896	Peru	Peru	2010	2010
1773.7279	SAMEA2683082	Peru	Peru	2011	2011
1773.7207	SAMEA2683107	Peru	Peru	2011	2011
1773.7164	SAMEA2683143	Peru	Peru	2009	2009
1773.7336	SAMEA2682831	Peru	Peru	2009	2009
1773.2167	SAMEA1019192	United Kingdom: Midlands	United Kingdom	2007	2007
1773.7235	SAMEA2683028	Peru	Peru	2011	2011
1773.734	SAMEA968123	Netherlands: Amsterdam	Netherlands	1999-01	1999
1773.7120	SAMEA2682846	Peru	Peru	2009	2009
1773.7067	SAMEA2682776	Peru	Peru	2009	2009
1773.7157	SAMEA2683132	Peru	Peru	2012	2012
1773.7074	SAMEA2682708	Peru	Peru	2008	2008
1773.7587	SAMEA2682912	Peru	Peru	2010	2010
1773.1108	SAMEA1707542	Russia	Russia	2009	2009
1773.1639	SAMEA1403945	Russia	Russia	2009	2009
1773.687	SAMEA1706699	Netherlands: Amsterdam	Netherlands	1998-06	1998
1773.7173	SAMEA2682680	Peru	Peru	2009	2009
1773.7286	SAMEA2683090	Peru	Peru	2008	2008
1773.7311	SAMEA2683125	Peru	Peru	2012	2012
1773.7528	SAMEA2683062	Peru	Peru	2011	2011
1773.196	SAMEA3139015				
1773.7291	SAMEA2683095	Peru	Peru	2011	2011
1773.7342	SAMEA2682783	Peru	Peru	2009	2009
1773.7300	SAMEA2683105	Peru	Peru	2012	2012
1773.7332	SAMEA2682826	Peru	Peru	2009	2009
1773.2252	SAMEA961602	United Kingdom: Midlands	United Kingdom	2005	2005
1773.808	SAMEA1706666	Netherlands: Amsterdam	Netherlands	1994-08	1994
1773.7216	SAMEA2682746	Peru	Peru	2009	2009
1773.7071	SAMEA2682761	Peru	Peru	2009	2009
1773.7222	SAMEA2682754	Peru	Peru	2009	2009
1773.7240	SAMEA2683034	Peru	Peru	2011	2011
1773.7213	SAMEA2682742	Peru	Peru	2009	2009
1773.7270	SAMEA2683069	Peru	Peru	2011	2011
1773.7271	SAMEA2683070	Peru	Peru	2011	2011
1773.7079	SAMEA2682794	Peru	Peru	2009	2009
1773.7153	SAMEA2683124	Peru	Peru	2012	2012
1773.7229	SAMEA2682763	Peru	Peru	2009	2009
1773.7276	SAMEA2683078	Peru	Peru	2011	2011
1773.7289	SAMEA2683093	Peru	Peru	2012	2012
1773.7359	SAMEA2682949	Peru	Peru	2009	2009
1773.7522	SAMEA2683128	Peru	Peru	2012	2012
1773.7550	SAMEA2682967	Peru	Peru	2011	2011
1773.7557	SAMEA2682954	Peru	Peru	2009	2009
1773.7574	SAMEA2682930	Peru	Peru	2009	2009
1773.7596	SAMEA2682897	Peru	Peru	2009	2009
1773.1053	SAMEA1707188	Russia	Russia	2009	2009
1773.1084	SAMEA1707384	Russia	Russia	2008	2008
1773.1124	SAMEA1018945	United Kingdom: Midlands	United Kingdom	2010	2010
1773.1484	SAMEA1403734	Russia	Russia	2009	2009
1773.1519	SAMEA1403784	Russia	Russia	2009	2009
1773.1655	SAMEA1403969	Russia	Russia	2009	2009
1773.1769	SAMEA1707149	Russia	Russia	2010	2010
1773.1816	SAMEA1707235	Russia	Russia	2010	2010
1773.1854	SAMEA1707316	Russia	Russia	2010	2010
1773.1928	SAMEA1707466	Russia	Russia	2010	2010
1773.1952	SAMEA1707516	Russia	Russia	2010	2010
1773.1970	SAMEA1707548	Russia	Russia	2010	2010
