Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Biosample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_disease,Host,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR6896220,WGS,GCF_000195955.2,507,472755308,PRJNA428596,SAMN08794982,DH00628091_WGS,Pathogen.cl,304229072,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846218,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate63,Not applicable,Not collected,DH00628091_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DH00628091,SRP128089
SRR6896223,WGS,GCF_000195955.2,503,650958714,PRJNA428596,SAMN08795339,TRL0021191_WGS,Pathogen.cl,379636709,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846215,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate420,Not applicable,Not collected,TRL0021191_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0021191,SRP128089
SRR6896224,WGS,GCF_000195955.2,458,242922946,PRJNA428596,SAMN08795332,TRL0020344_WGS,Pathogen.cl,158736432,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846214,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate413,Not applicable,Not collected,TRL0020344_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0020344,SRP128089
SRR6896226,WGS,GCF_000195955.2,413,332392697,PRJNA428596,SAMN08795330,TRL0020111_WGS,Pathogen.cl,212662693,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846212,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate411,Not applicable,Not collected,TRL0020111_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0020111,SRP128089
SRR6896229,WGS,GCF_000195955.2,483,131456429,PRJNA428596,SAMN08795337,TRL0020986_WGS,Pathogen.cl,74367113,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846209,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate418,Not applicable,Not collected,TRL0020986_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0020986,SRP128089
SRR6896231,WGS,GCF_000195955.2,565,384233161,PRJNA428596,SAMN08795335,TRL0020863_WGS,Pathogen.cl,247200586,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846207,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate416,Not applicable,Not collected,TRL0020863_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0020863,SRP128089
SRR6896232,WGS,GCF_000195955.2,522,273828201,PRJNA428596,SAMN08795129,GH00353950_WGS,Pathogen.cl,151952484,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846206,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate210,Not applicable,Not collected,GH00353950_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,GH00353950,SRP128089
SRR6896234,WGS,GCF_000195955.2,506,382594593,PRJNA428596,SAMN08795127,GH00346926_WGS,Pathogen.cl,218005254,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846204,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate208,Not applicable,Not collected,GH00346926_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,GH00346926,SRP128089
SRR6896236,WGS,GCF_000195955.2,531,84354085,PRJNA428596,SAMN08795125,FD00253167_WGS,Pathogen.cl,52368716,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846202,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate206,Not applicable,Not collected,FD00253167_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,FD00253167,SRP128089
SRR6896238,WGS,GCF_000195955.2,511,517728481,PRJNA428596,SAMN08795123,FD00248236_WGS,Pathogen.cl,297075546,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846200,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate204,Not applicable,Not collected,FD00248236_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,FD00248236,SRP128089
SRR6896241,WGS,GCF_000195955.2,477,240325902,PRJNA428596,SAMN08795120,FD00221831_WGS,Pathogen.cl,145986834,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846197,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate201,Not applicable,Not collected,FD00221831_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,FD00221831,SRP128089
SRR6896242,WGS,GCF_000195955.2,545,271406458,PRJNA428596,SAMN08795259,TRL0016801_WGS,Pathogen.cl,169177487,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846196,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate340,Not applicable,Not collected,TRL0016801_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016801,SRP128089
SRR6896244,WGS,GCF_000195955.2,534,298280854,PRJNA428596,SAMN08795253,TRL0016704_WGS,Pathogen.cl,183691229,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846194,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate334,Not applicable,Not collected,TRL0016704_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016704,SRP128089
SRR6896246,WGS,GCF_000195955.2,439,304500947,PRJNA428596,SAMN08795251,TRL0016629_WGS,Pathogen.cl,188376994,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846192,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate332,Not applicable,Not collected,TRL0016629_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0016629,SRP128089
SRR6896249,WGS,GCF_000195955.2,443,166729062,PRJNA428596,SAMN08795256,TRL0016742_WGS,Pathogen.cl,103297296,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846189,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate337,Not applicable,Not collected,TRL0016742_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016742,SRP128089
SRR6896251,WGS,GCF_000195955.2,496,263119127,PRJNA428596,SAMN08795254,TRL0016724_WGS,Pathogen.cl,157382120,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846187,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate335,Not applicable,Not collected,TRL0016724_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016724,SRP128089
SRR6896252,WGS,GCF_000195955.2,447,697410524,PRJNA428596,SAMN08794935,DG00518772_WGS,Pathogen.cl,417451687,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846186,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate16,Not applicable,Not collected,DG00518772_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DG00518772,SRP128089
SRR6896254,WGS,GCF_000195955.2,470,276476251,PRJNA428596,SAMN08794937,DG00529724_WGS,Pathogen.cl,174865445,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846184,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate18,Not applicable,Not collected,DG00529724_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DG00529724,SRP128089
SRR6896256,WGS,GCF_000195955.2,545,173883537,PRJNA428596,SAMN08794931,DG00497214_WGS,Pathogen.cl,110482918,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846182,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate12,Not applicable,Not collected,DG00497214_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DG00497214,SRP128089
SRR6896259,WGS,GCF_000195955.2,509,264005215,PRJNA428596,SAMN08794932,DG00497215_WGS,Pathogen.cl,154945863,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846179,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate13,Not applicable,Not collected,DG00497215_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DG00497215,SRP128089
SRR6896262,WGS,GCF_000195955.2,444,371550807,PRJNA428596,SAMN08795077,EI00608897_WGS,Pathogen.cl,230704974,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846176,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate158,Not applicable,Not collected,EI00608897_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EI00608897,SRP128089
SRR6896263,WGS,GCF_000195955.2,513,581548181,PRJNA428596,SAMN08795076,EI00603951_WGS,Pathogen.cl,362729789,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846175,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate157,Not applicable,Not collected,EI00603951_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EI00603951,SRP128089
SRR6896264,WGS,GCF_000195955.2,524,483628113,PRJNA428596,SAMN08795075,EI00596113_WGS,Pathogen.cl,279750313,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846174,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate156,Not applicable,Not collected,EI00596113_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EI00596113,SRP128089
SRR6896267,WGS,GCF_000195955.2,520,332610997,PRJNA428596,SAMN08795072,EF00278139_WGS,Pathogen.cl,197774819,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846171,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate153,Not applicable,Not collected,EF00278139_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EF00278139,SRP128089
SRR6896268,WGS,GCF_000195955.2,521,119574330,PRJNA428596,SAMN08795071,EF00273309_WGS,Pathogen.cl,73128842,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846170,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate152,Not applicable,Not collected,EF00273309_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EF00273309,SRP128089
SRR6896269,WGS,GCF_000195955.2,490,198233241,PRJNA428596,SAMN08795070,EF00248786_WGS,Pathogen.cl,114505320,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846169,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate151,Not applicable,Not collected,EF00248786_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EF00248786,SRP128089
SRR6896271,WGS,GCF_000195955.2,550,360312009,PRJNA428596,SAMN08795078,EI00613661_WGS,Pathogen.cl,230488255,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846167,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate159,Not applicable,Not collected,EI00613661_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EI00613661,SRP128089
SRR6896272,WGS,GCF_000195955.2,560,607027697,PRJNA428596,SAMN08795178,MG00279768_WGS,Pathogen.cl,375811016,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846166,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate259,Not applicable,Not collected,MG00279768_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,MG00279768,SRP128089
SRR6896274,WGS,GCF_000195955.2,448,400295002,PRJNA428596,SAMN08795364,TRL0022053_WGS,Pathogen.cl,242787477,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846164,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate445,Not applicable,Not collected,TRL0022053_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0022053,SRP128089
SRR6896276,WGS,GCF_000195955.2,512,603480728,PRJNA428596,SAMN08795366,TRL0022536_WGS,Pathogen.cl,349871638,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846162,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate447,Not applicable,Not collected,TRL0022536_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0022536,SRP128089
SRR6896278,WGS,GCF_000195955.2,487,168661741,PRJNA428596,SAMN08795360,TRL0022006_WGS,Pathogen.cl,96006652,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846160,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate441,Not applicable,Not collected,TRL0022006_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0022006,SRP128089
SRR6896280,WGS,GCF_000195955.2,458,236511697,PRJNA428596,SAMN08795298,TRL0018488_WGS,Pathogen.cl,148905574,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846158,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate379,Not applicable,Not collected,TRL0018488_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0018488,SRP128089
SRR6896282,WGS,GCF_000195955.2,451,171190382,PRJNA428596,SAMN08795296,TRL0018441_WGS,Pathogen.cl,105131148,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846156,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate377,Not applicable,Not collected,TRL0018441_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0018441,SRP128089
SRR6896283,WGS,GCF_000195955.2,578,336298122,PRJNA428596,SAMN08795295,TRL0018368_WGS,Pathogen.cl,213960600,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846155,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate376,Not applicable,Not collected,TRL0018368_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0018368,SRP128089
SRR6896285,WGS,GCF_000195955.2,446,274165578,PRJNA428596,SAMN08795293,TRL0018352_WGS,Pathogen.cl,170068770,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846153,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate374,Not applicable,Not collected,TRL0018352_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0018352,SRP128089
SRR6896287,WGS,GCF_000195955.2,475,45781846,PRJNA428596,SAMN08795291,TRL0018286_WGS,Pathogen.cl,25451257,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846151,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate372,Not applicable,Not collected,TRL0018286_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-26T00:00:00Z,TRL0018286,SRP128089
SRR6896289,WGS,GCF_000195955.2,534,371471632,PRJNA428596,SAMN08795196,RG00151067_WGS,Pathogen.cl,224640296,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846149,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate277,Not applicable,Not collected,RG00151067_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,RG00151067,SRP128089
